"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","03/18/2013","13:33:46","","invalid component definition, can't find org.corfield.framework"
"ERROR","web-0","03/18/2013","13:36:13","","invalid component definition, can't find org.corfield.framework"
"ERROR","web-0","03/19/2013","10:21:25","","missing id property for entity [table_A]"
"ERROR","web-0","03/19/2013","10:24:22","","missing id property for entity [table_A]"
"ERROR","web-0","03/19/2013","10:26:44","","missing id property for entity [table_A]"
"ERROR","web-0","03/19/2013","10:26:46","","missing id property for entity [table_A]"
"ERROR","web-0","03/19/2013","10:32:53","","missing id property for entity [table_A]"
"ERROR","web-0","03/19/2013","10:32:55","","missing id property for entity [table_A]"
"ERROR","web-0","03/19/2013","10:34:19","","missing id property for entity [table_A]"
"ERROR","web-0","03/19/2013","10:34:21","","missing id property for entity [table_A]"
"ERROR","web-0","03/19/2013","10:34:30","","missing id property for entity [table_A]"
"ERROR","web-0","03/19/2013","10:36:42","","missing id property for entity [users]"
"ERROR","web-0","03/19/2013","10:41:09","","missing id property for entity [table_A]"
"ERROR","web-0","03/19/2013","10:46:13","","missing id property for entity [users]"
"ERROR","web-0","03/19/2013","10:46:15","","missing id property for entity [users]"
"ERROR","web-0","03/19/2013","10:46:16","","missing id property for entity [users]"
